order_id,customer_id,order_date,segment,acquisition_channel,city,payment_type,order_amount,units,avg_discount,product_count,order_month,order_quarter
1,1524,2024-02-11,new,ads,Tainan,atm,5700.25,2,0.1,2,2,1
2,2408,2025-02-12,vip,social,Hsinchu,cod,10999.0,3,0.05,2,2,1
3,1730,2025-04-15,growth,social,Taichung,wallet,10191.5,4,0.06666666666666667,3,4,2
4,2437,2024-05-04,new,referral,Tainan,atm,1337.6,1,0.05,1,5,2
5,863,2024-08-25,vip,partner,Taoyuan,wallet,20967.6,7,0.075,2,8,3
6,1792,2024-05-25,growth,partner,Hsinchu,card,2856.8,1,0.2,1,5,2
7,1397,2025-07-02,growth,referral,Hsinchu,atm,189.0,1,0.0,1,7,3
8,1665,2025-08-11,new,ads,Taipei,card,4963.0,1,0.0,1,8,3
9,2362,2025-09-09,new,ads,Taipei,card,1899.3,2,0.075,2,9,3
10,348,2025-12-30,vip,ads,Kaohsiung,card,7675.0,2,0.05,2,12,4
11,1985,2025-06-13,growth,social,Hsinchu,card,11226.05,4,0.05000000000000001,3,6,2
13,1993,2024-08-26,growth,ads,Taichung,card,858.6,1,0.1,1,8,3
14,2073,2025-02-19,growth,social,Taipei,atm,1450.6499999999999,1,0.05,1,2,1
15,970,2025-03-01,growth,social,Taoyuan,atm,12154.0,6,0.037500000000000006,4,3,1
16,2317,2025-11-13,vip,referral,Taipei,card,4094.1,1,0.1,1,11,4
17,606,2024-04-16,growth,ads,Taipei,card,9608.8,3,0.05,2,4,2
18,395,2025-08-20,growth,partner,Taichung,wallet,633.4000000000001,3,0.05,2,8,3
19,1054,2025-06-08,vip,ads,Taoyuan,card,6389.45,3,0.05000000000000001,3,6,2
20,371,2024-06-27,new,ads,Taichung,card,410.0,1,0.0,1,6,2
21,1489,2025-08-29,growth,organic,Taichung,atm,976.0,1,0.0,1,8,3
22,570,2024-11-15,new,partner,Taipei,card,3129.7,2,0.125,2,11,4
23,2419,2024-06-06,new,social,Kaohsiung,atm,5420.799999999999,2,0.025,2,6,2
24,276,2024-01-28,growth,social,Tainan,cod,13649.65,6,0.11666666666666665,3,1,1
25,944,2025-08-05,new,social,Tainan,atm,2406.45,3,0.08333333333333333,3,8,3
26,2195,2024-09-29,growth,referral,Taoyuan,card,20913.5,6,0.016666666666666666,3,9,3
27,1211,2024-04-17,vip,organic,Tainan,wallet,21126.4,8,0.05,4,4,2
28,2313,2025-12-04,new,ads,Hsinchu,card,1940.35,2,0.07500000000000001,2,12,4
29,646,2024-05-23,new,partner,Taipei,atm,5919.35,3,0.08333333333333333,3,5,2
30,721,2025-07-30,new,partner,Hsinchu,card,4408.55,4,0.06666666666666667,3,7,3
31,1269,2024-08-13,vip,ads,Hsinchu,atm,7920.0,2,0.0,1,8,3
33,1705,2025-09-10,new,referral,Taoyuan,atm,544.85,1,0.15,1,9,3
34,1573,2025-01-22,new,social,Taoyuan,atm,5825.349999999999,2,0.125,2,1,1
35,1416,2024-08-24,growth,partner,Taipei,card,6060.0,3,0.0,2,8,3
36,541,2024-08-01,new,organic,Tainan,card,2358.9,1,0.1,1,8,3
37,1779,2025-03-08,new,referral,Taipei,card,1973.0,2,0.05,2,3,1
38,801,2024-12-25,vip,referral,Taichung,card,2956.65,2,0.025,2,12,4
