session_id,customer_id,session_start,device,traffic_source,campaign,experiment_group
1,455,2025-09-24 22:19:00,mobile,social,none,A
2,666,2025-10-24 07:05:00,mobile,email,double11,B
3,674,2024-01-16 19:22:00,desktop,social,none,A
4,217,2025-08-11 20:31:00,desktop,seo,new_user,B
5,799,2025-09-22 06:55:00,mobile,social,none,A
6,1211,2024-03-18 06:23:00,mobile,sem,retarget,A
7,429,2024-06-23 16:03:00,desktop,email,new_user,B
8,1167,2024-09-01 11:24:00,mobile,social,retarget,B
9,1900,2024-02-06 01:48:00,mobile,sem,none,B
10,2403,2024-05-23 04:47:00,desktop,sem,double11,A
11,675,2024-10-29 08:56:00,mobile,sem,spring_sale,B
12,108,2025-10-15 15:38:00,mobile,sem,none,B
13,1139,2025-06-30 12:44:00,desktop,direct,none,A
14,1867,2024-06-29 11:11:00,mobile,direct,new_user,A
15,102,2024-05-11 19:45:00,mobile,direct,none,B
16,120,2025-07-08 22:21:00,mobile,seo,new_user,A
17,1727,2025-07-16 00:39:00,mobile,direct,none,B
18,1749,2025-02-18 10:35:00,desktop,sem,none,B
19,2363,2025-03-12 08:15:00,desktop,direct,retarget,B
20,2210,2025-10-18 09:46:00,desktop,direct,new_user,B
21,1325,2024-01-18 12:30:00,desktop,email,double11,B
22,1167,2024-10-19 04:48:00,mobile,direct,none,B
23,503,2025-05-16 14:13:00,mobile,direct,none,B
24,323,2025-02-05 05:51:00,desktop,email,none,A
25,1533,2024-05-04 07:20:00,mobile,sem,none,B
26,1402,2024-01-19 21:14:00,mobile,social,none,B
27,463,2024-05-12 22:20:00,tablet,sem,retarget,B
28,241,2025-03-25 10:45:00,mobile,seo,none,A
29,827,2025-09-22 14:13:00,mobile,email,none,A
30,277,2025-05-30 07:05:00,desktop,seo,none,B
31,1502,2025-10-16 11:49:00,mobile,sem,spring_sale,B
32,1080,2025-02-09 21:21:00,mobile,seo,none,B
33,2130,2025-01-28 05:39:00,mobile,seo,none,A
34,1417,2024-06-26 04:26:00,mobile,seo,none,B
35,2092,2024-09-11 05:16:00,desktop,email,none,A
36,657,2025-01-09 09:53:00,mobile,email,none,A
37,2230,2025-06-19 19:51:00,desktop,seo,new_user,A
38,2070,2024-04-15 19:09:00,desktop,direct,spring_sale,A
39,1431,2025-07-30 17:22:00,mobile,sem,retarget,A
40,1048,2024-03-29 13:34:00,desktop,direct,none,A
41,258,2024-05-18 05:47:00,mobile,direct,double11,A
42,1566,2024-11-14 23:59:00,desktop,seo,spring_sale,A
43,1056,2024-09-17 15:09:00,mobile,social,new_user,A
