customer_id,experiment_group,assign_date
1,B,2024-01-02
2,A,2024-01-05
3,B,2024-01-15
4,A,2024-01-14
5,B,2024-01-08
6,A,2024-01-04
7,A,2024-01-12
8,A,2024-01-05
9,A,2024-01-09
10,B,2024-01-01
11,B,2024-01-01
12,A,2024-01-05
13,B,2024-01-09
14,A,2024-01-04
15,A,2024-01-09
16,B,2024-01-05
17,B,2024-01-13
18,B,2024-01-10
19,B,2024-01-09
20,A,2024-01-11
21,A,2024-01-05
22,B,2024-01-07
23,B,2024-01-04
24,A,2024-01-13
25,A,2024-01-15
26,B,2024-01-02
27,B,2024-01-03
28,B,2024-01-03
29,B,2024-01-13
30,B,2024-01-09
31,A,2024-01-14
32,B,2024-01-14
33,A,2024-01-06
34,A,2024-01-06
35,B,2024-01-10
36,A,2024-01-04
37,A,2024-01-03
38,A,2024-01-12
39,A,2024-01-14
40,A,2024-01-16
41,B,2024-01-07
42,A,2024-01-06
43,A,2024-01-11
44,B,2024-01-10
45,B,2024-01-09
46,B,2024-01-04
47,A,2024-01-07
48,A,2024-01-15
49,A,2024-01-04
50,B,2024-01-08
51,B,2024-01-11
52,A,2024-01-15
53,B,2024-01-10
54,B,2024-01-08
55,B,2024-01-14
56,A,2024-01-11
57,A,2024-01-04
58,B,2024-01-13
59,A,2024-01-03
60,B,2024-01-03
61,B,2024-01-16
62,B,2024-01-07
63,B,2024-01-03
64,B,2024-01-06
65,B,2024-01-04
66,A,2024-01-06
67,A,2024-01-05
68,A,2024-01-10
69,B,2024-01-04
70,B,2024-01-08
71,B,2024-01-05
72,A,2024-01-05
73,A,2024-01-02
74,B,2024-01-02
75,B,2024-01-09
76,A,2024-01-09
77,B,2024-01-10
78,B,2024-01-12
79,A,2024-01-03
80,B,2024-01-09
81,B,2024-01-08
82,B,2024-01-15
83,A,2024-01-06
84,A,2024-01-11
85,B,2024-01-15
86,B,2024-01-02
87,A,2024-01-07
88,B,2024-01-01
89,B,2024-01-10
90,B,2024-01-03
91,A,2024-01-16
92,B,2024-01-15
93,B,2024-01-05
94,B,2024-01-04
95,B,2024-01-06
96,B,2024-01-16
97,B,2024-01-11
98,B,2024-01-16
99,A,2024-01-08
100,A,2024-01-16
101,A,2024-01-06
102,B,2024-01-01
103,A,2024-01-16
104,A,2024-01-08
105,A,2024-01-15
106,A,2024-01-10
107,B,2024-01-14
108,B,2024-01-14
109,B,2024-01-03
110,A,2024-01-05
111,A,2024-01-11
112,B,2024-01-06
113,B,2024-01-05
114,A,2024-01-10
115,B,2024-01-07
116,A,2024-01-02
117,B,2024-01-12
118,A,2024-01-03
119,A,2024-01-13
120,A,2024-01-14
121,A,2024-01-14
122,B,2024-01-11
123,A,2024-01-08
124,B,2024-01-05
125,A,2024-01-11
126,A,2024-01-05
127,A,2024-01-13
128,A,2024-01-06
129,A,2024-01-03
130,B,2024-01-05
131,B,2024-01-08
132,A,2024-01-09
133,A,2024-01-16
134,A,2024-01-01
135,B,2024-01-13
136,B,2024-01-03
137,A,2024-01-02
138,B,2024-01-12
139,B,2024-01-16
140,B,2024-01-13
141,B,2024-01-12
142,A,2024-01-06
143,B,2024-01-05
144,B,2024-01-02
145,B,2024-01-03
146,B,2024-01-14
147,B,2024-01-04
148,B,2024-01-16
149,B,2024-01-10
150,B,2024-01-09
151,A,2024-01-12
152,A,2024-01-09
153,A,2024-01-15
154,B,2024-01-03
155,A,2024-01-03
156,A,2024-01-12
157,B,2024-01-04
158,A,2024-01-12
159,B,2024-01-06
160,A,2024-01-13
161,A,2024-01-11
162,A,2024-01-05
163,B,2024-01-14
164,A,2024-01-14
165,B,2024-01-03
166,A,2024-01-02
167,A,2024-01-01
168,A,2024-01-08
169,A,2024-01-08
170,A,2024-01-11
171,A,2024-01-13
172,B,2024-01-05
173,A,2024-01-01
174,A,2024-01-01
175,B,2024-01-03
176,A,2024-01-03
177,A,2024-01-12
178,A,2024-01-16
179,B,2024-01-04
180,A,2024-01-12
181,B,2024-01-03
182,A,2024-01-13
183,B,2024-01-03
184,B,2024-01-14
185,A,2024-01-16
186,A,2024-01-09
187,B,2024-01-03
188,B,2024-01-16
189,A,2024-01-03
190,B,2024-01-03
191,A,2024-01-15
192,A,2024-01-10
193,B,2024-01-12
194,A,2024-01-01
195,B,2024-01-14
196,B,2024-01-03
197,A,2024-01-13
198,A,2024-01-02
199,A,2024-01-03
200,A,2024-01-11
201,A,2024-01-10
202,B,2024-01-01
203,A,2024-01-04
204,B,2024-01-13
205,A,2024-01-05
206,A,2024-01-16
207,B,2024-01-05
208,A,2024-01-12
209,A,2024-01-08
210,B,2024-01-03
211,B,2024-01-04
212,A,2024-01-06
213,A,2024-01-16
214,A,2024-01-11
215,B,2024-01-12
216,B,2024-01-03
217,B,2024-01-12
218,B,2024-01-16
219,B,2024-01-01
220,B,2024-01-14
221,A,2024-01-09
222,A,2024-01-04
223,B,2024-01-16
224,B,2024-01-14
225,A,2024-01-05
226,B,2024-01-04
227,A,2024-01-10
228,A,2024-01-11
229,B,2024-01-02
230,B,2024-01-12
231,B,2024-01-11
232,A,2024-01-11
233,A,2024-01-08
234,A,2024-01-05
235,B,2024-01-10
236,A,2024-01-14
237,A,2024-01-04
238,A,2024-01-13
239,B,2024-01-15
240,B,2024-01-04
241,A,2024-01-04
242,B,2024-01-07
243,B,2024-01-11
244,A,2024-01-07
245,A,2024-01-13
246,B,2024-01-11
247,B,2024-01-04
248,B,2024-01-07
249,A,2024-01-07
250,A,2024-01-03
251,B,2024-01-11
252,A,2024-01-02
253,A,2024-01-07
254,B,2024-01-02
255,B,2024-01-05
256,B,2024-01-15
257,A,2024-01-12
258,A,2024-01-05
259,A,2024-01-16
260,B,2024-01-05
261,A,2024-01-09
262,A,2024-01-05
263,A,2024-01-02
264,B,2024-01-11
265,A,2024-01-15
266,B,2024-01-08
267,A,2024-01-04
268,B,2024-01-15
269,A,2024-01-02
270,B,2024-01-14
271,A,2024-01-13
272,B,2024-01-15
273,A,2024-01-03
274,B,2024-01-14
275,A,2024-01-02
276,B,2024-01-10
277,B,2024-01-02
278,B,2024-01-09
279,A,2024-01-10
280,B,2024-01-13
281,B,2024-01-03
282,A,2024-01-09
283,B,2024-01-12
284,B,2024-01-01
285,A,2024-01-11
286,A,2024-01-01
287,B,2024-01-12
288,A,2024-01-11
289,B,2024-01-08
290,A,2024-01-05
291,B,2024-01-11
292,B,2024-01-10
293,B,2024-01-10
294,B,2024-01-11
295,A,2024-01-04
296,B,2024-01-06
297,B,2024-01-05
298,B,2024-01-14
299,B,2024-01-14
300,B,2024-01-03
301,A,2024-01-08
302,A,2024-01-13
303,B,2024-01-10
304,A,2024-01-12
305,B,2024-01-12
306,A,2024-01-08
307,B,2024-01-11
308,B,2024-01-11
309,A,2024-01-14
310,A,2024-01-06
311,A,2024-01-16
312,B,2024-01-08
313,B,2024-01-12
314,B,2024-01-10
315,B,2024-01-07
316,B,2024-01-11
317,A,2024-01-12
318,B,2024-01-05
319,B,2024-01-15
320,B,2024-01-02
321,B,2024-01-05
322,A,2024-01-03
323,A,2024-01-11
324,A,2024-01-08
325,B,2024-01-15
326,B,2024-01-10
327,A,2024-01-08
328,A,2024-01-11
329,A,2024-01-10
330,B,2024-01-13
331,A,2024-01-01
332,A,2024-01-15
333,B,2024-01-01
334,A,2024-01-16
335,B,2024-01-15
336,B,2024-01-15
337,A,2024-01-02
338,A,2024-01-08
339,A,2024-01-12
340,B,2024-01-09
341,B,2024-01-15
342,A,2024-01-12
343,B,2024-01-09
344,A,2024-01-08
345,A,2024-01-13
346,B,2024-01-07
347,A,2024-01-12
348,B,2024-01-08
349,B,2024-01-08
350,B,2024-01-11
351,A,2024-01-09
352,A,2024-01-16
353,A,2024-01-14
354,B,2024-01-01
355,B,2024-01-16
356,B,2024-01-04
357,A,2024-01-16
358,A,2024-01-03
359,A,2024-01-03
360,B,2024-01-09
361,B,2024-01-05
362,B,2024-01-16
363,B,2024-01-05
364,A,2024-01-16
365,A,2024-01-10
366,A,2024-01-13
367,A,2024-01-05
368,A,2024-01-10
369,B,2024-01-15
370,B,2024-01-07
371,A,2024-01-15
372,B,2024-01-03
373,A,2024-01-02
374,A,2024-01-12
375,B,2024-01-16
376,B,2024-01-06
377,B,2024-01-14
