customer_id,signup_date,acquisition_channel,city,segment
1,2022-11-29,ads,Kaohsiung,growth
2,2023-06-10,social,Taoyuan,new
3,2025-06-09,social,Taipei,growth
4,2024-07-23,partner,Taichung,new
5,2024-11-27,ads,Kaohsiung,vip
6,2024-08-12,social,Hsinchu,growth
7,2023-10-22,social,Taichung,new
8,2023-04-18,referral,Taipei,vip
9,2024-12-08,referral,Taoyuan,new
10,2024-07-01,ads,Kaohsiung,new
11,2023-11-12,ads,Taichung,growth
12,2023-03-18,ads,Hsinchu,new
13,2023-08-23,ads,Taoyuan,new
14,2024-07-19,social,Tainan,new
15,2023-07-21,ads,Taichung,new
16,2024-08-25,partner,Taichung,new
17,2023-12-03,social,Taichung,growth
18,2023-08-26,ads,Kaohsiung,new
19,2025-07-07,ads,Kaohsiung,new
20,2025-04-14,social,Kaohsiung,new
21,2024-09-11,referral,Hsinchu,new
22,2025-07-19,ads,Tainan,new
23,2025-04-06,social,Taoyuan,new
24,2025-10-02,social,Hsinchu,growth
25,2023-02-08,social,Hsinchu,growth
26,2025-10-01,referral,Taipei,new
27,2022-12-25,social,Hsinchu,new
28,2024-04-22,ads,Kaohsiung,new
29,2023-03-08,ads,Kaohsiung,new
30,2024-08-06,referral,Taipei,new
31,2022-11-29,organic,Taoyuan,growth
32,2024-07-04,social,Kaohsiung,new
33,2023-07-18,referral,Kaohsiung,new
34,2023-05-05,social,Tainan,vip
35,2024-12-14,ads,Tainan,new
36,2022-12-09,referral,Taichung,growth
37,2024-07-10,social,Taipei,new
38,2025-09-13,referral,Taichung,new
39,2025-05-11,social,Kaohsiung,new
40,2025-01-04,ads,Taichung,growth
41,2024-07-16,ads,Kaohsiung,new
42,2023-10-26,social,Taipei,growth
43,2023-04-11,ads,Hsinchu,new
44,2024-12-10,referral,Kaohsiung,vip
45,2022-11-30,referral,Hsinchu,growth
46,2024-02-20,social,Taipei,new
47,2023-07-28,ads,Taipei,new
48,2023-12-01,social,Taichung,new
49,2025-06-14,social,Taoyuan,vip
50,2024-12-05,social,Taoyuan,growth
51,2025-03-24,partner,Tainan,new
52,2024-05-25,social,Tainan,new
53,2024-03-01,ads,Taipei,new
54,2023-10-23,ads,Taipei,new
55,2024-09-20,ads,Taichung,new
56,2024-08-01,referral,Hsinchu,vip
57,2025-07-17,ads,Kaohsiung,growth
58,2025-09-25,social,Taipei,growth
59,2023-02-26,ads,Taipei,new
60,2023-01-02,organic,Tainan,new
61,2023-03-08,ads,Tainan,new
62,2024-08-12,social,Taoyuan,growth
63,2024-05-16,ads,Taichung,new
64,2023-06-15,ads,Taoyuan,growth
65,2024-06-17,social,Taichung,growth
66,2024-01-22,social,Kaohsiung,new
67,2024-01-22,social,Tainan,growth
68,2023-06-08,ads,Kaohsiung,new
69,2025-01-06,referral,Taichung,growth
70,2025-06-13,ads,Taoyuan,new
71,2024-01-07,partner,Tainan,new
72,2025-02-14,referral,Kaohsiung,growth
73,2024-02-17,ads,Kaohsiung,new
74,2023-07-10,ads,Kaohsiung,growth
75,2023-03-06,ads,Taoyuan,new
76,2024-04-14,ads,Kaohsiung,new
77,2024-01-22,social,Kaohsiung,growth
78,2023-04-10,referral,Tainan,new
79,2023-01-03,organic,Hsinchu,new
80,2023-07-08,organic,Taichung,new
81,2024-11-13,social,Tainan,new
82,2023-12-22,ads,Hsinchu,new
83,2025-09-12,ads,Taipei,new
84,2023-08-18,ads,Hsinchu,growth
85,2025-09-17,ads,Taoyuan,new
86,2024-10-09,social,Taipei,new
87,2025-10-25,social,Hsinchu,growth
88,2025-08-26,ads,Taichung,new
89,2023-11-11,ads,Kaohsiung,new
90,2025-12-01,organic,Tainan,new
91,2023-04-24,organic,Taipei,new
92,2024-05-10,referral,Tainan,new
