order_id,product_id,quantity,unit_price,discount_rate
1,35,1,2084,0.05
1,55,1,4377,0.15
2,6,1,3871,0
2,10,2,3960,0.1
3,53,1,1408,0.05
3,44,1,1674,0.1
3,4,2,3867,0.05
4,53,1,1408,0.05
5,43,1,2654,0.15
5,43,3,2654,0.15
5,50,2,4645,0
5,43,1,2654,0
6,31,1,3571,0.2
7,37,1,189,0
8,20,1,4963,0
9,26,1,438,0.15
9,9,1,1527,0
10,31,1,3571,0
10,41,1,4560,0.1
11,20,1,4963,0.05
11,1,1,2760,0
11,23,2,2084,0.1
12,15,1,3944,0.15
12,12,1,2578,0
13,59,1,954,0.1
14,9,1,1527,0.05
15,19,1,2578,0.05
15,59,3,954,0.05
15,41,1,4560,0.05
15,43,1,2654,0
16,11,1,4549,0.1
17,52,1,2641,0
17,6,2,3871,0.1
18,13,2,283,0.1
18,58,1,124,0
19,31,1,3571,0
19,47,1,365,0.1
19,51,1,2621,0.05
20,29,1,410,0
21,38,1,976,0
22,16,1,2872,0.15
22,39,1,765,0.1
23,44,1,1674,0
23,15,1,3944,0.05
24,45,3,1847,0.2
24,57,2,3486,0
24,52,1,2641,0.15
25,58,1,124,0.1
25,25,1,938,0.1
25,9,1,1527,0.05
26,23,2,2084,0
26,50,2,4645,0.05
26,10,2,3960,0
27,24,2,2210,0.1
27,40,2,4298,0
27,3,2,3882,0
27,26,2,438,0.1
28,58,1,124,0.1
28,17,1,1925,0.05
29,17,1,1925,0.15
29,11,1,4549,0.1
29,37,1,189,0
30,57,1,3486,0.05
30,36,2,460,0.1
30,13,1,283,0.05
31,10,2,3960,0
32,19,1,2578,0.05
33,42,1,641,0.15
34,35,1,2084,0.2
34,55,1,4377,0.05
35,24,1,2210,0
35,17,2,1925,0
36,51,1,2621,0.1
37,29,1,410,0.1
37,46,1,1604,0
38,1,1,2760,0
38,5,1,207,0.05
39,13,1,283,0.05
39,16,1,2872,0.1
40,29,1,410,0
40,60,1,1642,0.05
41,1,2,2760,0.1
42,11,1,4549,0.05
43,37,1,189,0
43,38,1,976,0
43,28,1,3031,0
44,51,2,2621,0
44,58,1,124,0
45,53,1,1408,0
46,59,2,954,0.15
46,52,1,2641,0
46,34,1,1026,0.05
47,41,2,4560,0.15
47,48,1,4805,0.1
47,8,1,659,0
47,32,1,2083,0.1
48,35,1,2084,0.15
48,40,2,4298,0.1
49,50,1,4645,0
49,8,1,659,0.1
49,41,1,4560,0.1
50,19,1,2578,0.05
50,59,1,954,0
51,40,1,4298,0.15
52,14,1,3770,0.05
53,51,2,2621,0.1
53,15,1,3944,0
54,34,3,1026,0.1
55,40,1,4298,0.05
56,47,2,365,0.1
56,55,2,4377,0.15
57,41,2,4560,0.05
57,19,1,2578,0
58,10,1,3960,0.1
58,40,1,4298,0.05
59,47,1,365,0
60,33,1,2132,0
61,50,2,4645,0.15
62,54,1,273,0.15
63,6,1,3871,0
63,20,1,4963,0.05
64,3,1,3882,0.1
65,20,1,4963,0.15
65,58,1,124,0
66,10,1,3960,0.15
67,12,1,2578,0
68,4,1,3867,0
68,48,1,4805,0.15
69,56,1,2279,0
70,16,1,2872,0
71,59,1,954,0.15
72,7,1,2555,0.1
72,14,2,3770,0
72,43,2,2654,0
73,11,1,4549,0.15
73,19,1,2578,0
74,8,1,659,0
75,45,1,1847,0
76,16,3,2872,0
76,10,1,3960,0.15
77,34,1,1026,0.05
77,19,1,2578,0.05
78,54,1,273,0.1
78,53,2,1408,0.05
79,23,2,2084,0.05
79,26,1,438,0.1
80,1,1,2760,0.1
81,16,1,2872,0
82,60,1,1642,0.05
82,24,2,2210,0.05
83,30,2,3732,0.05
84,50,1,4645,0
84,6,2,3871,0
85,24,1,2210,0.05
86,33,2,2132,0.2
86,55,2,4377,0
87,3,1,3882,0
87,12,1,2578,0.05
88,46,1,1604,0.15
89,55,1,4377,0.1
90,26,3,438,0.05
91,11,2,4549,0
92,50,2,4645,0.15
92,56,2,2279,0.2
92,48,1,4805,0.1
93,57,1,3486,0
93,31,1,3571,0.05
94,18,1,4405,0
94,22,1,131,0.05
95,18,1,4405,0.1
96,49,1,2121,0
96,46,1,1604,0.15
96,38,1,976,0
97,60,2,1642,0
98,40,1,4298,0
98,27,1,2377,0.2
99,13,1,283,0.15
99,21,1,572,0.05
99,49,2,2121,0
100,35,1,2084,0.05
101,8,1,659,0
101,30,1,3732,0.1
102,47,1,365,0.2
102,23,1,2084,0
103,10,1,3960,0
103,12,2,2578,0
103,28,1,3031,0.1
104,19,2,2578,0
104,7,2,2555,0
104,27,1,2377,0.05
105,10,1,3960,0.15
105,44,1,1674,0
105,13,2,283,0.1
106,16,1,2872,0
107,55,1,4377,0
107,58,1,124,0
108,14,1,3770,0
109,45,1,1847,0.05
109,39,1,765,0
110,46,2,1604,0.2
110,18,1,4405,0
111,50,1,4645,0.05
112,31,1,3571,0.15
113,19,1,2578,0
113,46,2,1604,0
114,42,1,641,0
114,47,1,365,0
114,32,1,2083,0.05
115,55,1,4377,0.05
115,18,1,4405,0
116,42,1,641,0
116,30,1,3732,0.1
117,21,2,572,0
118,50,2,4645,0.15
118,36,1,460,0
118,42,2,641,0
119,13,1,283,0
119,18,1,4405,0.05
119,17,1,1925,0
120,42,1,641,0.1
121,52,1,2641,0.2
122,17,1,1925,0
122,38,1,976,0.1
123,21,1,572,0.05
124,39,1,765,0
124,57,1,3486,0.15
125,55,1,4377,0
125,51,1,2621,0
126,55,1,4377,0.05
127,29,1,410,0.05
128,27,1,2377,0.05
128,45,1,1847,0.05
129,48,1,4805,0
129,53,1,1408,0.1
129,50,1,4645,0.1
129,45,1,1847,0
130,4,1,3867,0.05
131,31,1,3571,0
131,50,1,4645,0.05
132,24,1,2210,0
133,56,1,2279,0.1
133,22,1,131,0.05
134,50,1,4645,0.15
135,18,1,4405,0.1
135,23,1,2084,0
136,33,1,2132,0.05
136,27,1,2377,0
136,21,1,572,0.1
136,14,1,3770,0
137,1,1,2760,0
137,14,1,3770,0.15
138,26,1,438,0.1
139,12,1,2578,0
139,32,1,2083,0.05
139,27,2,2377,0
140,26,1,438,0.15
140,56,1,2279,0.05
141,23,1,2084,0.1
141,19,1,2578,0
142,19,2,2578,0
142,1,2,2760,0.05
142,51,1,2621,0
143,45,1,1847,0
143,28,1,3031,0
143,55,1,4377,0.1
144,34,3,1026,0.05
144,8,2,659,0
145,6,1,3871,0.1
146,9,1,1527,0
147,30,2,3732,0
147,35,1,2084,0.2
147,54,2,273,0
148,46,1,1604,0.05
149,60,1,1642,0.15
150,30,1,3732,0.15
151,38,1,976,0.1
152,13,2,283,0.2
152,1,1,2760,0
153,7,1,2555,0
154,4,2,3867,0
154,18,1,4405,0.05
154,56,1,2279,0
154,28,3,3031,0.15
155,28,1,3031,0
155,30,1,3732,0
156,13,1,283,0.15
157,15,1,3944,0.1
157,30,1,3732,0.15
158,25,1,938,0.1
159,22,1,131,0.15
159,42,2,641,0.05
160,46,1,1604,0.1
160,29,1,410,0
161,57,1,3486,0
162,9,1,1527,0
162,37,1,189,0.1
162,10,2,3960,0.05
162,7,1,2555,0
163,18,2,4405,0
164,20,1,4963,0
164,32,1,2083,0.1
165,12,1,2578,0
165,42,1,641,0.1
166,4,2,3867,0.15
166,11,1,4549,0.05
166,53,1,1408,0.1
167,27,1,2377,0
168,50,1,4645,0.05
169,10,1,3960,0
170,3,1,3882,0.05
171,51,1,2621,0.1
171,40,2,4298,0.05
171,7,2,2555,0.15
171,10,2,3960,0.2
172,57,1,3486,0
173,43,2,2654,0.15
173,28,1,3031,0.05
174,20,1,4963,0
174,7,3,2555,0.1
175,52,1,2641,0
175,55,1,4377,0
175,55,1,4377,0
175,17,1,1925,0
176,57,1,3486,0.1
176,45,1,1847,0.1
177,54,1,273,0
178,16,1,2872,0
178,38,1,976,0
178,11,2,4549,0.05
179,40,1,4298,0
180,31,2,3571,0.05
180,33,1,2132,0.1
181,41,1,4560,0.15
182,40,1,4298,0.1
182,52,2,2641,0.1
183,23,1,2084,0
184,7,1,2555,0
185,33,2,2132,0.2
185,7,1,2555,0.05
185,32,1,2083,0.15
186,35,1,2084,0.05
186,29,2,410,0.05
187,48,2,4805,0.05
188,10,1,3960,0.1
188,49,3,2121,0.05
189,28,3,3031,0.1
190,19,2,2578,0.05
190,60,1,1642,0.15
191,46,1,1604,0
192,52,1,2641,0.05
193,53,1,1408,0
194,52,2,2641,0
194,10,1,3960,0
194,43,1,2654,0
195,14,1,3770,0
196,52,1,2641,0.15
197,36,1,460,0.05
197,27,1,2377,0
198,31,1,3571,0
198,58,1,124,0
198,54,1,273,0
199,24,1,2210,0
199,50,1,4645,0.05
200,45,1,1847,0.2
200,17,3,1925,0.05
200,28,1,3031,0.05
201,50,2,4645,0.1
201,51,2,2621,0.15
201,16,1,2872,0
201,27,2,2377,0
202,6,1,3871,0.05
202,51,1,2621,0.1
203,7,2,2555,0
204,20,1,4963,0.05
204,55,1,4377,0.05
205,22,1,131,0.1
205,60,1,1642,0.15
205,40,1,4298,0
206,9,3,1527,0.05
207,46,1,1604,0.05
207,52,1,2641,0.05
208,7,2,2555,0
209,30,1,3732,0.1
209,35,2,2084,0.05
209,37,2,189,0.05
210,12,1,2578,0.15
210,46,2,1604,0
211,51,2,2621,0.1
211,27,1,2377,0
211,31,1,3571,0
212,52,3,2641,0
212,20,3,4963,0.05
212,56,2,2279,0.15
213,15,1,3944,0.1
213,1,1,2760,0
214,50,2,4645,0
214,41,3,4560,0
215,3,1,3882,0
215,30,1,3732,0.1
216,13,2,283,0
217,10,1,3960,0
217,25,1,938,0
218,14,1,3770,0
218,24,2,2210,0.1
218,14,2,3770,0.15
219,49,1,2121,0.05
220,52,2,2641,0
220,54,3,273,0.1
220,6,2,3871,0
221,31,2,3571,0.05
222,21,1,572,0.15
223,11,1,4549,0.05
223,33,2,2132,0.2
224,30,1,3732,0
224,37,1,189,0.05
224,45,1,1847,0.05
225,56,1,2279,0.1
225,34,1,1026,0.05
226,18,2,4405,0
226,60,1,1642,0.05
226,25,1,938,0.05
227,42,2,641,0.1
227,25,1,938,0.15
228,5,1,207,0.15
229,45,1,1847,0.05
230,54,1,273,0
230,26,2,438,0.05
230,34,2,1026,0.1
230,60,1,1642,0.05
231,14,1,3770,0
231,54,1,273,0.1
232,56,2,2279,0
233,7,1,2555,0.1
233,11,1,4549,0.05
234,58,1,124,0
234,53,1,1408,0.15
235,47,1,365,0
236,33,1,2132,0.1
237,17,1,1925,0.05
237,5,1,207,0.05
237,54,1,273,0
238,60,1,1642,0.2
239,20,1,4963,0.1
239,29,2,410,0.05
239,55,1,4377,0
239,10,2,3960,0.15
240,44,1,1674,0
240,49,2,2121,0.15
240,52,1,2641,0.05
241,4,1,3867,0.2
241,48,2,4805,0
242,34,2,1026,0
243,11,1,4549,0
244,6,2,3871,0.05
244,4,2,3867,0.1
245,1,3,2760,0.05
246,23,1,2084,0
246,8,1,659,0.05
246,13,2,283,0.05
247,42,1,641,0
248,1,2,2760,0.05
248,20,2,4963,0.1
248,7,1,2555,0
249,46,1,1604,0.15
250,19,1,2578,0
250,18,2,4405,0
251,19,1,2578,0
251,18,1,4405,0.1
252,40,1,4298,0
252,12,3,2578,0.05
253,33,1,2132,0
253,57,3,3486,0
253,28,3,3031,0
254,56,2,2279,0.15
254,55,1,4377,0.1
255,26,2,438,0
256,40,2,4298,0
256,20,2,4963,0.05
257,23,2,2084,0
258,20,2,4963,0.1
259,25,1,938,0.15
260,41,1,4560,0
260,2,1,1368,0
261,10,1,3960,0
261,37,1,189,0.05
262,48,1,4805,0.05
263,15,1,3944,0.15
263,11,1,4549,0.15
264,7,3,2555,0
265,58,1,124,0.1
266,45,1,1847,0
267,6,1,3871,0
267,32,1,2083,0
267,4,3,3867,0.05
267,18,1,4405,0.2
268,21,1,572,0.05
268,27,2,2377,0.2
269,16,1,2872,0
269,47,2,365,0.15
269,43,1,2654,0.1
270,14,1,3770,0.1
271,16,1,2872,0.05
272,3,3,3882,0.05
272,41,2,4560,0.1
273,13,1,283,0
273,52,1,2641,0.05
273,20,1,4963,0.1
274,25,1,938,0
274,28,1,3031,0.1
275,10,2,3960,0
276,43,1,2654,0.05
276,54,1,273,0.15
277,2,1,1368,0.05
278,31,2,3571,0
278,13,1,283,0.1
278,7,2,2555,0.05
278,37,1,189,0.1
279,30,1,3732,0
279,4,3,3867,0
280,54,1,273,0
280,55,3,4377,0.1
280,42,2,641,0.2
281,28,1,3031,0.15
281,12,1,2578,0
282,16,2,2872,0.05
283,51,1,2621,0.05
283,26,1,438,0.1
284,18,3,4405,0.05
284,23,2,2084,0.1
284,33,1,2132,0.1
285,7,2,2555,0
285,56,1,2279,0.05
286,13,1,283,0.15
286,24,2,2210,0.1
287,55,1,4377,0.05
287,12,1,2578,0.15
288,19,1,2578,0
288,14,2,3770,0
289,24,1,2210,0
289,20,1,4963,0
290,60,2,1642,0
290,20,2,4963,0.15
291,56,2,2279,0
291,10,1,3960,0
291,30,1,3732,0
292,37,3,189,0
293,19,1,2578,0
294,32,2,2083,0
294,58,2,124,0.05
295,53,2,1408,0
296,32,1,2083,0
296,54,1,273,0
297,58,2,124,0
297,33,2,2132,0
297,31,1,3571,0.05
298,25,1,938,0
298,1,1,2760,0
298,55,1,4377,0.15
299,49,1,2121,0
299,2,1,1368,0
300,43,1,2654,0.05
300,23,1,2084,0.1
300,31,2,3571,0.05
301,21,1,572,0.05
302,53,1,1408,0.15
302,10,2,3960,0
303,30,3,3732,0.2
303,7,1,2555,0
303,19,2,2578,0.15
303,42,1,641,0.05
304,25,1,938,0
304,26,1,438,0
304,55,1,4377,0.1
305,22,1,131,0.15
306,50,1,4645,0
307,31,1,3571,0
308,2,3,1368,0.15
309,53,2,1408,0.1
309,52,1,2641,0
309,3,1,3882,0.15
310,4,1,3867,0.05
311,36,1,460,0.1
311,13,2,283,0.05
312,57,2,3486,0.05
312,1,1,2760,0.1
312,33,1,2132,0.05
312,30,1,3732,0.1
313,31,2,3571,0
313,56,1,2279,0.1
313,31,2,3571,0.2
314,27,2,2377,0.1
315,11,2,4549,0
315,14,1,3770,0
316,40,1,4298,0.05
316,30,1,3732,0
317,30,2,3732,0
317,42,1,641,0
318,9,1,1527,0.1
318,1,1,2760,0
319,56,1,2279,0.05
320,6,2,3871,0
320,15,1,3944,0
320,4,1,3867,0.05
320,10,1,3960,0.1
321,59,1,954,0
321,5,1,207,0
322,4,2,3867,0.05
322,18,1,4405,0.05
323,30,1,3732,0.15
323,6,3,3871,0
324,54,2,273,0
324,13,1,283,0.2
325,40,1,4298,0
325,45,1,1847,0
326,2,1,1368,0.2
327,55,1,4377,0.1
328,51,1,2621,0.1
328,27,1,2377,0
329,52,2,2641,0
330,20,1,4963,0
330,3,2,3882,0.05
331,25,2,938,0.05
332,8,1,659,0.15
332,41,2,4560,0
332,7,1,2555,0.05
332,32,1,2083,0
333,50,2,4645,0
333,12,2,2578,0
333,34,1,1026,0.15
334,52,1,2641,0
334,60,1,1642,0
334,59,1,954,0
334,20,1,4963,0.15
335,25,2,938,0
336,52,1,2641,0
337,21,3,572,0
337,52,2,2641,0
338,43,1,2654,0.2
338,16,2,2872,0.05
339,39,1,765,0.1
340,54,1,273,0.15
341,29,1,410,0.1
341,3,1,3882,0.05
341,13,1,283,0.2
342,47,1,365,0
342,10,1,3960,0.1
343,22,1,131,0
344,50,1,4645,0.15
344,19,1,2578,0
345,10,2,3960,0.05
346,5,2,207,0.05
346,59,1,954,0
346,54,1,273,0.05
347,7,1,2555,0.05
347,32,1,2083,0
347,13,1,283,0.15
347,11,2,4549,0
348,50,1,4645,0.1
348,11,1,4549,0.1
348,14,1,3770,0
349,47,1,365,0.2
349,3,1,3882,0.05
350,51,1,2621,0.05
350,40,1,4298,0.05
351,20,2,4963,0.15
352,4,1,3867,0
352,9,1,1527,0
353,44,1,1674,0.05
354,35,1,2084,0.05
354,22,1,131,0.2
355,11,1,4549,0.05
355,33,1,2132,0.05
356,59,1,954,0.05
357,32,2,2083,0
357,30,1,3732,0.15
357,19,1,2578,0
358,57,2,3486,0.05
359,2,3,1368,0
359,50,1,4645,0.15
359,10,2,3960,0
360,28,2,3031,0.05
360,3,1,3882,0.15
360,28,1,3031,0.05
360,3,1,3882,0.05
361,23,1,2084,0
362,57,2,3486,0.15
363,24,1,2210,0
363,27,1,2377,0.1
364,37,1,189,0.15
364,33,3,2132,0
364,32,1,2083,0.05
365,47,1,365,0
