order_id,customer_id,order_date,status,payment_type
1,1524,2024-02-11,completed,atm
2,2408,2025-02-12,completed,cod
3,1730,2025-04-15,completed,wallet
4,2437,2024-05-04,completed,atm
5,863,2024-08-25,completed,wallet
6,1792,2024-05-25,completed,card
7,1397,2025-07-02,completed,atm
8,1665,2025-08-11,completed,card
9,2362,2025-09-09,completed,card
10,348,2025-12-30,completed,card
11,1985,2025-06-13,completed,card
12,535,2025-08-23,cancelled,card
13,1993,2024-08-26,completed,card
14,2073,2025-02-19,completed,atm
15,970,2025-03-01,completed,atm
16,2317,2025-11-13,completed,card
17,606,2024-04-16,completed,card
18,395,2025-08-20,completed,wallet
19,1054,2025-06-08,completed,card
20,371,2024-06-27,completed,card
21,1489,2025-08-29,completed,atm
22,570,2024-11-15,completed,card
23,2419,2024-06-06,completed,atm
24,276,2024-01-28,completed,cod
25,944,2025-08-05,completed,atm
26,2195,2024-09-29,completed,card
27,1211,2024-04-17,completed,wallet
28,2313,2025-12-04,completed,card
29,646,2024-05-23,completed,atm
30,721,2025-07-30,completed,card
31,1269,2024-08-13,completed,atm
32,2336,2024-04-24,refunded,cod
33,1705,2025-09-10,completed,atm
34,1573,2025-01-22,completed,atm
35,1416,2024-08-24,completed,card
36,541,2024-08-01,completed,card
37,1779,2025-03-08,completed,card
38,801,2024-12-25,completed,card
39,2492,2024-02-25,completed,card
40,809,2025-06-28,completed,cod
41,947,2025-12-23,completed,card
42,1016,2024-11-01,completed,atm
43,1887,2024-01-07,completed,cod
44,913,2025-10-31,completed,cod
45,110,2024-10-16,completed,card
46,2295,2024-04-21,completed,card
47,2240,2025-05-06,completed,card
48,2186,2024-11-21,cancelled,atm
49,396,2024-12-19,completed,card
50,285,2025-02-03,completed,cod
51,211,2024-03-11,completed,card
52,2103,2024-03-24,completed,card
53,89,2024-12-05,completed,card
54,489,2024-06-03,completed,atm
55,2329,2024-12-25,completed,atm
56,1887,2025-11-12,cancelled,wallet
57,2127,2024-10-26,completed,card
58,629,2024-06-03,completed,atm
59,687,2024-02-14,completed,card
60,2166,2025-04-26,completed,card
61,1180,2024-09-08,completed,card
62,1473,2025-01-12,completed,atm
63,2350,2025-12-29,completed,card
64,899,2024-08-21,completed,card
65,991,2024-07-12,completed,card
66,167,2025-12-29,completed,card
67,298,2025-03-30,completed,atm
68,1221,2025-08-23,completed,card
69,1902,2024-04-15,completed,card
70,2456,2025-08-08,cancelled,card
71,673,2025-04-15,completed,wallet
72,248,2024-02-03,completed,card
73,2343,2024-08-05,completed,card
74,2006,2025-01-23,completed,card
75,927,2024-06-27,completed,card
76,2370,2024-04-22,completed,card
77,811,2024-04-17,completed,atm
78,1650,2025-07-26,completed,card
79,1013,2024-09-16,completed,card
80,2297,2024-05-30,completed,card
81,81,2024-02-01,completed,card
82,401,2025-04-30,completed,wallet
83,716,2025-08-15,completed,wallet
84,1543,2024-01-06,completed,atm
85,360,2025-09-17,completed,atm
86,106,2024-10-29,completed,cod
87,1750,2025-11-25,completed,wallet
88,297,2024-07-31,completed,atm
89,417,2024-04-30,completed,atm
90,948,2025-01-09,completed,wallet
91,249,2024-03-24,refunded,card
92,1433,2025-07-17,completed,card
93,2298,2025-10-17,completed,atm
94,697,2024-11-08,completed,card
95,32,2024-08-01,completed,card
96,266,2024-08-21,completed,wallet
97,62,2025-12-15,completed,card
98,1007,2025-11-24,completed,card
99,849,2024-06-12,completed,wallet
100,1262,2025-02-20,completed,cod
101,2185,2024-02-04,completed,card
102,95,2025-08-15,completed,atm
103,150,2025-04-27,completed,wallet
104,2370,2025-08-29,completed,wallet
105,1702,2025-04-24,completed,card
106,1344,2024-08-30,completed,card
107,715,2024-11-27,completed,cod
108,262,2025-12-22,completed,cod
109,617,2025-05-05,completed,atm
110,527,2024-05-05,completed,card
111,1798,2024-05-22,cancelled,card
112,1993,2024-06-24,completed,atm
113,474,2025-07-08,completed,card
114,64,2024-03-03,completed,card
115,648,2024-06-13,completed,card
116,2016,2024-10-09,refunded,wallet
117,2362,2025-03-26,completed,atm
118,25,2024-11-08,completed,card
119,1927,2025-12-27,completed,atm
120,988,2025-08-15,completed,cod
121,1360,2024-10-19,completed,card
122,1910,2024-11-18,completed,atm
123,1570,2025-12-30,cancelled,card
124,624,2024-08-19,completed,atm
125,2273,2024-09-10,completed,card
126,2005,2024-08-05,completed,card
127,2106,2024-09-02,completed,cod
128,961,2024-06-05,completed,card
129,1345,2025-10-28,completed,card
130,1372,2025-09-12,completed,wallet
131,730,2025-03-05,completed,card
132,2465,2025-10-23,completed,card
133,202,2025-11-07,completed,atm
134,698,2025-05-03,completed,atm
135,1231,2024-11-09,completed,card
136,1177,2025-06-13,completed,atm
137,334,2025-07-21,completed,atm
138,105,2025-10-04,completed,card
139,1216,2025-02-16,completed,card
140,2475,2024-10-14,completed,card
141,320,2025-04-09,completed,card
142,2381,2025-08-31,completed,card
143,901,2024-12-17,completed,atm
144,285,2024-11-28,completed,card
145,934,2024-02-13,cancelled,cod
146,65,2024-02-11,completed,card
147,1154,2025-02-27,completed,wallet
148,700,2025-07-27,completed,atm
149,1784,2025-10-21,cancelled,card
150,1639,2024-06-29,completed,atm
151,1277,2025-08-15,completed,card
152,237,2025-04-19,completed,atm
153,2095,2025-12-02,completed,card
154,1136,2025-05-27,completed,cod
155,2162,2025-11-29,completed,card
156,2166,2024-08-06,completed,card
157,2053,2024-08-13,completed,card
158,1,2025-07-26,completed,card
159,636,2025-05-13,completed,card
160,918,2024-06-13,completed,wallet
161,365,2025-05-14,completed,card
162,1640,2025-07-20,completed,atm
163,917,2025-04-24,completed,card
164,142,2024-05-03,completed,card
165,252,2024-05-09,completed,card
166,1787,2025-10-17,completed,card
167,712,2024-09-27,completed,wallet
168,68,2024-06-03,completed,wallet
169,202,2024-12-18,completed,atm
170,127,2024-04-21,completed,card
171,1081,2025-06-17,completed,cod
