product_id,category,unit_price
1,electronics,2760
2,electronics,1368
3,electronics,3882
4,electronics,3867
5,electronics,207
6,electronics,3871
7,electronics,2555
8,electronics,659
9,electronics,1527
10,electronics,3960
11,home,4549
12,home,2578
13,home,283
14,home,3770
15,home,3944
16,home,2872
17,home,1925
18,home,4405
19,home,2578
20,home,4963
21,beauty,572
22,beauty,131
23,beauty,2084
24,beauty,2210
25,beauty,938
26,beauty,438
27,beauty,2377
28,beauty,3031
29,beauty,410
30,beauty,3732
31,grocery,3571
32,grocery,2083
33,grocery,2132
34,grocery,1026
35,grocery,2084
36,grocery,460
37,grocery,189
38,grocery,976
39,grocery,765
40,grocery,4298
41,sports,4560
42,sports,641
43,sports,2654
44,sports,1674
45,sports,1847
46,sports,1604
47,sports,365
48,sports,4805
49,sports,2121
50,sports,4645
51,fashion,2621
52,fashion,2641
53,fashion,1408
54,fashion,273
55,fashion,4377
56,fashion,2279
57,fashion,3486
58,fashion,124
59,fashion,954
60,fashion,1642
